time=2026-04-08T23:18:55.597+05:30 level=INFO source=routes.go:1727 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/data/interns/studentiotlab/AdaptiveBandit/server_output/ollama_models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NO_CLOUD:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2026-04-08T23:18:55.597+05:30 level=INFO source=routes.go:1729 msg="Ollama cloud disabled: false"
time=2026-04-08T23:18:55.597+05:30 level=INFO source=images.go:477 msg="total blobs: 0"
time=2026-04-08T23:18:55.597+05:30 level=INFO source=images.go:484 msg="total unused blobs removed: 0"
time=2026-04-08T23:18:55.597+05:30 level=INFO source=routes.go:1782 msg="Listening on 127.0.0.1:11434 (version 0.18.2)"
time=2026-04-08T23:18:55.597+05:30 level=INFO source=runner.go:67 msg="discovering available GPUs..."
time=2026-04-08T23:18:55.599+05:30 level=INFO source=server.go:430 msg="starting runner" cmd="/data/interns/studentiotlab/ollama_bin/bin/ollama runner --ollama-engine --port 34587"
time=2026-04-08T23:18:55.740+05:30 level=INFO source=runner.go:106 msg="experimental Vulkan support disabled.  To enable, set OLLAMA_VULKAN=1"
time=2026-04-08T23:18:55.740+05:30 level=INFO source=server.go:430 msg="starting runner" cmd="/data/interns/studentiotlab/ollama_bin/bin/ollama runner --ollama-engine --port 38749"
time=2026-04-08T23:18:55.874+05:30 level=INFO source=server.go:430 msg="starting runner" cmd="/data/interns/studentiotlab/ollama_bin/bin/ollama runner --ollama-engine --port 42907"
time=2026-04-08T23:18:55.874+05:30 level=INFO source=server.go:430 msg="starting runner" cmd="/data/interns/studentiotlab/ollama_bin/bin/ollama runner --ollama-engine --port 35099"
time=2026-04-08T23:18:56.002+05:30 level=INFO source=types.go:42 msg="inference compute" id=GPU-b2511437-b568-9d31-50a5-4a97e82012f8 filter_id="" library=CUDA compute=8.9 name=CUDA0 description="NVIDIA L40S" libdirs=ollama,cuda_v13 driver=13.0 pci_id=0000:be:00.0 type=discrete total="45.0 GiB" available="35.0 GiB"
time=2026-04-08T23:18:56.002+05:30 level=INFO source=routes.go:1832 msg="vram-based default context" total_vram="45.0 GiB" default_num_ctx=32768
[GIN] 2026/04/08 - 23:18:58 | 200 |      70.975µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/04/08 - 23:18:58 | 200 |      51.903µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/04/08 - 23:18:58 | 200 |     269.404µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/08 - 23:19:13 | 200 |      35.526µs |       127.0.0.1 | HEAD     "/"
time=2026-04-08T23:19:13.616+05:30 level=INFO source=images.go:852 msg="request failed: Get \"https://registry.ollama.ai/v2/library/llama3/manifests/latest\": dial tcp: lookup registry.ollama.ai on [::1]:53: read udp [::1]:33233->[::1]:53: read: connection refused"
[GIN] 2026/04/08 - 23:19:13 | 200 |    1.005012ms |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/04/08 - 23:19:13 | 200 |      48.635µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/04/08 - 23:19:13 | 200 |      77.286µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/08 - 23:22:55 | 200 |      33.682µs |       127.0.0.1 | HEAD     "/"
time=2026-04-08T23:22:55.453+05:30 level=INFO source=images.go:852 msg="request failed: Get \"https://registry.ollama.ai/v2/library/llama3/manifests/latest\": dial tcp: lookup registry.ollama.ai on [::1]:53: read udp [::1]:40596->[::1]:53: read: connection refused"
[GIN] 2026/04/08 - 23:22:55 | 200 |     920.543µs |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/04/08 - 23:22:55 | 200 |      41.454µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/04/08 - 23:22:55 | 200 |      69.157µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/08 - 23:24:37 | 200 |     114.089µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/08 - 23:26:40 | 404 |    1.168201ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/08 - 23:27:48 | 404 |     398.733µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/08 - 23:39:25 | 200 |     106.174µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/09 - 11:47:56 | 200 |      168.16µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/09 - 11:52:12 | 404 |     456.021µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     460.643µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     517.944µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     465.096µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     423.157µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |       364.8µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     331.887µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     399.508µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     358.388µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     240.316µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     292.169µs |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/04/09 - 11:52:12 | 404 |     229.297µs |       127.0.0.1 | POST     "/v1/chat/completions"
