dataset_group,file_name,column,missing_pct_sample,sample_rows
twitter,sample.csv,tweet_id,0.0,93
twitter,sample.csv,author_id,0.0,93
twitter,sample.csv,inbound,0.0,93
twitter,sample.csv,created_at,0.0,93
twitter,sample.csv,text,0.0,93
twitter,sample.csv,response_tweet_id,30.11,93
twitter,sample.csv,in_response_to_tweet_id,26.88,93
twitter,twcs.csv,tweet_id,0.0,50000
twitter,twcs.csv,author_id,0.0,50000
twitter,twcs.csv,inbound,0.0,50000
twitter,twcs.csv,created_at,0.0,50000
twitter,twcs.csv,text,0.0,50000
twitter,twcs.csv,response_tweet_id,33.12,50000
twitter,twcs.csv,in_response_to_tweet_id,25.83,50000
openassistant,oasst1-train.csv,message_id,0.0,50000
openassistant,oasst1-train.csv,parent_id,12.06,50000
openassistant,oasst1-train.csv,user_id,0.0,50000
openassistant,oasst1-train.csv,created_date,0.0,50000
openassistant,oasst1-train.csv,text,0.0,50000
openassistant,oasst1-train.csv,role,0.0,50000
openassistant,oasst1-train.csv,lang,0.0,50000
openassistant,oasst1-train.csv,review_count,0.0,50000
openassistant,oasst1-train.csv,review_result,0.78,50000
openassistant,oasst1-train.csv,deleted,0.0,50000
openassistant,oasst1-train.csv,rank,41.62,50000
openassistant,oasst1-train.csv,synthetic,0.0,50000
openassistant,oasst1-train.csv,model_name,100.0,50000
openassistant,oasst1-train.csv,detoxify,13.78,50000
openassistant,oasst1-train.csv,message_tree_id,0.0,50000
openassistant,oasst1-train.csv,tree_state,0.0,50000
openassistant,oasst1-train.csv,emojis,14.5,50000
openassistant,oasst1-train.csv,labels,0.28,50000
openassistant,oasst1-val.csv,message_id,0.0,4401
openassistant,oasst1-val.csv,parent_id,11.77,4401
openassistant,oasst1-val.csv,user_id,0.0,4401
openassistant,oasst1-val.csv,created_date,0.0,4401
openassistant,oasst1-val.csv,text,0.0,4401
openassistant,oasst1-val.csv,role,0.0,4401
openassistant,oasst1-val.csv,lang,0.0,4401
openassistant,oasst1-val.csv,review_count,0.0,4401
openassistant,oasst1-val.csv,review_result,0.61,4401
openassistant,oasst1-val.csv,deleted,0.0,4401
openassistant,oasst1-val.csv,rank,42.44,4401
openassistant,oasst1-val.csv,synthetic,0.0,4401
openassistant,oasst1-val.csv,model_name,100.0,4401
openassistant,oasst1-val.csv,detoxify,13.75,4401
openassistant,oasst1-val.csv,message_tree_id,0.0,4401
openassistant,oasst1-val.csv,tree_state,0.0,4401
openassistant,oasst1-val.csv,emojis,13.22,4401
openassistant,oasst1-val.csv,labels,0.23,4401
