conversation_proxy_id,author_id,n_turns,avg_user_sentiment,sentiment_volatility,escalation_event_rate,avg_utterance_length,first_turn_frustration,recovery_rate,dropout_flag,question_ratio,rule_based_persona_hint,cluster_id,cluster_confidence,persona_cluster
10637_1,10637,1,0.4431875092007125,0.0,0.0,16.0,0.1760869565217391,0.0,1,0.0,cooperative,3,1.0,cooperative
10766_1,10766,1,0.0,0.0,0.0,20.0,0.030337078651685393,0.0,1,0.0,cooperative,3,0.9999999734245545,cooperative
11037_1,11037,1,0.0,0.0,0.0,23.0,0.10738636363636364,0.0,1,0.0,cooperative,3,0.9999999760275745,cooperative
11113_1,11113,2,0.0,0.0,0.0,6.5,0.084375,0.0,1,0.0,silent_dropout,3,0.9999999578723306,cooperative
11210_1,11210,1,0.0,0.0,1.0,21.0,0.42656249999999996,0.0,1,0.0,escalation_prone,1,1.0,escalation_prone
115712_1,115712,10,-0.06822617902381697,0.2157501217656649,0.0,11.1,0.0,1.0,0,0.0,cooperative,2,1.0,cooperative
115713_1,115713,3,0.10717091251054478,0.18562546556178258,0.0,13.333333333333334,0.08571428571428572,0.0,0,0.3333333333333333,cooperative,4,0.9999863523674514,cooperative
115714_1,115714,4,0.0,0.0,0.0,17.25,0.2066326530612245,0.0,0,0.0,cooperative,0,0.9999999998592806,cooperative
115714_10,115714,1,0.0,0.0,0.0,19.0,0.1764367816091954,0.0,1,0.0,cooperative,3,0.9999999763538557,cooperative
115714_11,115714,1,0.0,0.0,0.0,22.0,0.26408934707903775,0.0,1,0.0,cooperative,3,0.9999999865672606,cooperative
115714_12,115714,1,0.0,0.0,0.0,16.0,0.10617977528089888,0.0,1,0.0,cooperative,3,0.9999999686367471,cooperative
115714_13,115714,1,0.0,0.0,0.0,3.0,0.19285714285714284,0.0,1,0.0,silent_dropout,3,0.9999999685485119,cooperative
115714_14,115714,1,0.0,0.0,0.0,9.0,0.29102564102564105,0.0,1,0.0,silent_dropout,3,0.9999999853398975,cooperative
115714_15,115714,1,0.0,0.0,0.0,4.0,0.084375,0.0,1,0.0,silent_dropout,3,0.9999999556018163,cooperative
115714_16,115714,1,0.0,0.0,0.0,18.0,0.1323529411764706,0.0,1,0.0,cooperative,3,0.9999999720594492,cooperative
