timesteps,episode_reward,episode_len,resolution_rate,escalation_rate,dropout_rate,timeout_rate,mean_reward_100ep,mean_episode_length_100ep,episodes_seen
500,-3.8709708000000003,3.6,0.023809523809523808,0.9285714285714286,0.047619047619047616,0.0,-3.8709708000000003,3.6,139
1000,-3.0487329,3.83,0.0821917808219178,0.8767123287671232,0.0410958904109589,0.0,-3.0487329,3.83,269
1500,-3.59798844,3.93,0.09482758620689655,0.853448275862069,0.05172413793103448,0.0,-3.59798844,3.93,401
2000,-3.6187849800000005,3.65,0.0875,0.85,0.0625,0.0,-3.6187849800000005,3.65,534
2500,-2.6083281599999997,3.27,0.12698412698412698,0.8095238095238095,0.06349206349206349,0.0,-2.6083281599999997,3.27,679
3000,-3.26213346,3.27,0.14479638009049775,0.7918552036199095,0.06334841628959276,0.0,-3.26213346,3.27,831
3500,-3.5756693599999996,3.17,0.13095238095238096,0.7976190476190477,0.07142857142857142,0.0,-3.5756693599999996,3.17,979
4000,-3.25896248,3.52,0.13286713286713286,0.7832167832167832,0.08391608391608392,0.0,-3.25896248,3.52,1119
4500,-2.9761431,3.2,0.14516129032258066,0.7741935483870968,0.08064516129032258,0.0,-2.9761431,3.2,1280
5000,-3.18426758,3.4,0.15339233038348082,0.7699115044247787,0.07669616519174041,0.0,-3.18426758,3.4,1428
5500,-3.0975709,3.16,0.15921787709497207,0.7653631284916201,0.07541899441340782,0.0,-3.0975709,3.16,1581
6000,-3.31571457,3.11,0.16272965879265092,0.7611548556430446,0.07611548556430446,0.0,-3.31571457,3.11,1740
6500,-3.3636958900000002,3.26,0.16502463054187191,0.7536945812807881,0.0812807881773399,0.0,-3.3636958900000002,3.26,1897
7000,-2.94107629,3.39,0.1740139211136891,0.7378190255220418,0.08816705336426914,0.0,-2.94107629,3.39,2039
7500,-2.5124234299999997,3.48,0.19222462203023757,0.714902807775378,0.09287257019438445,0.0,-2.5124234299999997,3.48,2171
8000,-2.82072296,3.34,0.2069672131147541,0.6987704918032787,0.0942622950819672,0.0,-2.82072296,3.34,2321
8500,-2.9972486700000003,3.88,0.2084942084942085,0.693050193050193,0.09845559845559845,0.0,-2.9972486700000003,3.88,2449
9000,-3.20004199,4.36,0.21062271062271062,0.6904761904761905,0.0989010989010989,0.0,-3.20004199,4.36,2566
9500,-2.904336869999999,4.5,0.2158894645941278,0.6804835924006909,0.10362694300518134,0.0,-2.904336869999999,4.5,2676
10000,-2.626092399999999,4.01,0.22388059701492538,0.6733001658374793,0.10281923714759536,0.0,-2.626092399999999,4.01,2796
10500,-2.38845526,4.39,0.2329635499207607,0.6576862123613312,0.10935023771790808,0.0,-2.38845526,4.39,2910
11000,-2.49179732,5.16,0.23952095808383234,0.6422155688622755,0.11826347305389222,0.0,-2.49179732,5.16,3006
11500,-2.643385180000001,4.14,0.2460431654676259,0.6330935251798561,0.12086330935251799,0.0,-2.643385180000001,4.14,3122
12000,-2.5902969400000004,4.73,0.2524271844660194,0.6269070735090153,0.12066574202496533,0.0,-2.5902969400000004,4.73,3229
12500,-2.13065353,5.17,0.2605820105820106,0.6124338624338624,0.12698412698412698,0.0,-2.13065353,5.17,3325
13000,-1.8030143600000001,5.65,0.271356783919598,0.5979899497487438,0.1306532663316583,0.0,-1.8030143600000001,5.65,3415
13500,-2.28209522,5.8,0.27636363636363637,0.5903030303030303,0.13333333333333333,0.0,-2.28209522,5.8,3501
14000,-2.50059092,5.41,0.2803738317757009,0.5794392523364486,0.14018691588785046,0.0,-2.50059092,5.41,3592
14500,-3.03945815,5.47,0.2797752808988764,0.5674157303370787,0.15280898876404495,0.0,-3.03945815,5.47,3685
15000,-1.99783161,5.6,0.2878625134264232,0.547798066595059,0.16433941997851773,0.0,-1.99783161,5.6,3774
15500,-1.51208347,6.03,0.29835390946502055,0.5329218106995884,0.16872427983539096,0.0,-1.51208347,6.03,3857
16000,-2.2828125200000002,5.83,0.30049261083743845,0.5182266009852217,0.1812807881773399,0.0,-2.2828125200000002,5.83,3944
16500,-1.98315249,6.05,0.3049713193116635,0.505736137667304,0.18929254302103252,0.0,-1.98315249,6.05,4026
17000,-1.7991979200000001,6.68,0.308890925756187,0.4940421631530706,0.19615032080659944,0.0009165902841429881,-1.7991979200000001,6.68,4097
17500,-0.9663535599999998,7.27,0.31527531083481347,0.4849023090586146,0.1989342806394316,0.0008880994671403197,-0.9663535599999998,7.27,4166
18000,-1.95849805,6.98,0.3178694158075601,0.4733676975945017,0.20790378006872853,0.000859106529209622,-1.95849805,6.98,4238
18500,-1.7686226299999999,6.79,0.32497911445279865,0.4619883040935672,0.2121971595655806,0.000835421888053467,-1.7686226299999999,6.79,4309
19000,-1.50550406,6.87,0.3284907183212268,0.4495560936238902,0.22033898305084745,0.0016142050040355124,-1.50550406,6.87,4383
19500,-1.8899736200000001,7.35,0.3338533541341654,0.4360374414976599,0.22854914196567863,0.0015600624024961,-1.8899736200000001,7.35,4450
20000,-1.5495864,7.7,0.33813495072024263,0.42608036391205456,0.23426838514025777,0.001516300227445034,-1.5495864,7.7,4513
20500,-0.4503767000000002,7.23,0.34827332843497427,0.4166054371785452,0.23365172667156503,0.0014695077149155032,-0.4503767000000002,7.23,4586
21000,0.2858435499999999,7.99,0.353988603988604,0.40527065527065526,0.2378917378917379,0.002849002849002849,0.2858435499999999,7.99,4646
21500,-1.7731090099999998,7.39,0.3545706371191136,0.3981994459833795,0.24445983379501385,0.002770083102493075,-1.7731090099999998,7.39,4716
22000,-1.1625733,6.62,0.3608316566063045,0.38967136150234744,0.24681421864520456,0.0026827632461435278,-1.1625733,6.62,4790
22500,0.22572070000000002,7.43,0.3683181225554107,0.38070404172099087,0.24837027379400262,0.002607561929595828,0.22572070000000002,7.43,4857
23000,-0.8541734699999998,8.09,0.3702290076335878,0.37404580152671757,0.25318066157760816,0.002544529262086514,-0.8541734699999998,8.09,4916
23500,-0.67328507,7.9,0.37639060568603216,0.3683559950556242,0.2527812113720643,0.002472187886279357,-0.67328507,7.9,4983
24000,-0.2514162900000001,8.3,0.38086642599277976,0.35980746089049337,0.25691937424789413,0.0024067388688327317,-0.2514162900000001,8.3,5039
24500,-0.7636671299999999,8.47,0.38380281690140844,0.3532863849765258,0.2605633802816901,0.002347417840375587,-0.7636671299999999,8.47,5097
25000,0.5102972599999999,8.48,0.39232531500572737,0.3459335624284078,0.25945017182130586,0.002290950744558992,0.5102972599999999,8.48,5157
25500,1.8683222499999999,9.04,0.39865996649916247,0.3389168062534897,0.2601898380792853,0.002233389168062535,1.8683222499999999,9.04,5210
26000,0.4251739499999999,9.47,0.4015275504637207,0.33169667212220405,0.2640480087288598,0.002727768685215494,0.4251739499999999,9.47,5262
26500,-0.12168711000000006,9.53,0.40436867341502397,0.32605221097496007,0.26531699520511454,0.004262120404901438,-0.12168711000000006,9.53,5314
27000,1.1274785999999999,9.38,0.4106029106029106,0.3186070686070686,0.2661122661122661,0.004677754677754678,1.1274785999999999,9.38,5370
27500,1.3166486599999998,9.76,0.4145473041709054,0.3128179043743642,0.26703967446592064,0.005595116988809766,1.3166486599999998,9.76,5417
28000,-0.4787635800000001,9.0,0.4155908639523337,0.30635551142005957,0.27259185700099303,0.005461767626613704,-0.4787635800000001,9.0,5479
28500,-0.3031813099999998,8.82,0.4195430238210987,0.30189596499756927,0.2727272727272727,0.00583373845405931,-0.3031813099999998,8.82,5533
29000,1.0884462600000002,9.68,0.4231318419800095,0.29604950023798193,0.2746311280342694,0.006187529747739172,1.0884462600000002,9.68,5584
