timesteps,episode_reward,episode_len,resolution_rate,escalation_rate,dropout_rate,timeout_rate,mean_reward_100ep,mean_episode_length_100ep,episodes_seen
500,-8.612531689999999,3.83,0.10810810810810811,0.7297297297297297,0.16216216216216217,0.0,-8.612531689999999,3.83,133
1000,-8.630863469999998,3.45,0.0625,0.8375,0.1,0.0,-8.630863469999998,3.45,268
1500,-7.843441039999999,3.56,0.09016393442622951,0.8278688524590164,0.08196721311475409,0.0,-7.843441039999999,3.56,404
2000,-8.713430070000001,4.02,0.08227848101265822,0.8291139240506329,0.08860759493670886,0.0,-8.713430070000001,4.02,523
2500,-7.600015050000001,4.18,0.10784313725490197,0.8088235294117647,0.08333333333333333,0.0,-7.600015050000001,4.18,643
3000,-7.5711888300000005,4.66,0.11788617886178862,0.8048780487804879,0.07723577235772358,0.0,-7.5711888300000005,4.66,752
3500,-7.804209659999999,4.38,0.12274368231046931,0.8014440433212996,0.07581227436823104,0.0,-7.804209659999999,4.38,867
4000,-8.593114380000001,4.16,0.11746031746031746,0.8063492063492064,0.0761904761904762,0.0,-8.593114380000001,4.16,985
4500,-7.227934150000001,5.01,0.1327683615819209,0.788135593220339,0.07909604519774012,0.0,-7.227934150000001,5.01,1083
5000,-8.18473114,5.17,0.1377551020408163,0.7729591836734694,0.08928571428571429,0.0,-8.18473114,5.17,1179
5500,-6.792178789999998,4.55,0.15227272727272728,0.7636363636363637,0.08409090909090909,0.0,-6.792178789999998,4.55,1285
6000,-7.746100029999999,5.03,0.15527950310559005,0.7536231884057971,0.09109730848861283,0.0,-7.746100029999999,5.03,1385
6500,-7.0434412700000015,5.2,0.1634980988593156,0.747148288973384,0.08935361216730038,0.0,-7.0434412700000015,5.2,1483
7000,-8.543341009999999,6.04,0.1583629893238434,0.7437722419928826,0.09786476868327403,0.0,-8.543341009999999,6.04,1565
7500,-8.099151990000001,4.95,0.15692821368948248,0.7395659432387313,0.1018363939899833,0.001669449081803005,-8.099151990000001,4.95,1667
8000,-6.87707342,5.25,0.16744186046511628,0.7286821705426356,0.10232558139534884,0.0015503875968992248,-6.87707342,5.25,1763
8500,-8.02605736,5.52,0.1683748169838946,0.726207906295754,0.10395314787701318,0.0014641288433382138,-8.02605736,5.52,1845
9000,-7.197051380000001,5.93,0.17289073305670816,0.719225449515906,0.10650069156293222,0.0013831258644536654,-7.197051380000001,5.93,1930
9500,-7.127988769999999,5.94,0.17806451612903226,0.7032258064516129,0.11741935483870967,0.0012903225806451613,-7.127988769999999,5.94,2013
10000,-8.70545342,6.29,0.17567567567567569,0.7014742014742015,0.12162162162162163,0.0012285012285012285,-8.70545342,6.29,2088
10500,-6.838599320000001,6.85,0.18596491228070175,0.6877192982456141,0.12514619883040937,0.0011695906432748538,-6.838599320000001,6.85,2160
11000,-5.716994239999999,6.68,0.19401330376940132,0.6740576496674058,0.13082039911308205,0.0011086474501108647,-5.716994239999999,6.68,2234
11500,-5.34914781,7.42,0.20572640509013787,0.6606574761399788,0.1325556733828208,0.0010604453870625664,-5.34914781,7.42,2298
12000,-6.12531246,6.86,0.21036585365853658,0.6544715447154471,0.13414634146341464,0.0010162601626016261,-6.12531246,6.86,2372
12500,-7.107358379999998,6.71,0.2112950340798442,0.6504381694255112,0.13631937682570594,0.0019474196689386564,-7.107358379999998,6.71,2445
13000,-6.1286634499999995,7.86,0.2203548085901027,0.6349206349206349,0.14285714285714285,0.0018674136321195146,-6.1286634499999995,7.86,2506
13500,-5.454772489999999,7.25,0.22792792792792793,0.6216216216216216,0.14864864864864866,0.0018018018018018018,-5.454772489999999,7.25,2579
14000,-5.375275540000001,6.7,0.23503902862098872,0.6097137901127494,0.15351257588898526,0.0017346053772766695,-5.375275540000001,6.7,2650
14500,-4.65061652,7.98,0.24204355108877723,0.5996649916247906,0.15577889447236182,0.002512562814070352,-4.65061652,7.98,2704
15000,-4.82071054,9.1,0.2479740680713128,0.5907617504051864,0.1580226904376013,0.0032414910858995136,-4.82071054,9.1,2759
15500,-3.70102202,9.05,0.25885129819040126,0.5806451612903226,0.15656963021243114,0.003933910306845004,-3.70102202,9.05,2812
16000,-3.76072329,9.18,0.2646834477498093,0.5720823798627003,0.15942028985507245,0.0038138825324180014,-3.76072329,9.18,2868
16500,-3.9959241900000007,8.62,0.2734663710273466,0.5594974131559497,0.16334072431633406,0.003695491500369549,-3.9959241900000007,8.62,2926
17000,-3.7490201699999997,9.14,0.27913669064748203,0.5489208633093525,0.1683453237410072,0.0035971223021582736,-3.7490201699999997,9.14,2978
17500,-3.7546972400000005,8.8,0.28670842032011135,0.5372303409881698,0.17258176757132915,0.003479471120389701,-3.7546972400000005,8.8,3036
18000,-3.019924960000001,8.7,0.2954699121027721,0.5273833671399595,0.1737660581473969,0.0033806626098715348,-3.019924960000001,8.7,3094
18500,-4.30558701,8.59,0.2979002624671916,0.5177165354330708,0.18044619422572178,0.003937007874015748,-4.30558701,8.59,3152
19000,-4.46802898,8.98,0.3040973111395647,0.5083226632522407,0.18309859154929578,0.004481434058898848,-4.46802898,8.98,3205
19500,-1.79317393,9.52,0.31320049813200496,0.4975093399750934,0.1843088418430884,0.0049813200498132005,-1.79317393,9.52,3258
20000,-2.2924748100000003,9.81,0.3175470552519733,0.49058894960534305,0.1870066788099575,0.004857316332726169,-2.2924748100000003,9.81,3306
