timesteps,episode_reward,episode_len,resolution_rate,escalation_rate,dropout_rate,timeout_rate,mean_reward_100ep,mean_episode_length_100ep,episodes_seen
500,-18.83772828,3.58,0.14705882352941177,0.8529411764705882,0.0,0.0,-18.83772828,3.58,140
1000,-18.31010486,4.6,0.1527777777777778,0.8472222222222222,0.0,0.0,-18.31010486,4.6,252
1500,-13.822285550000002,6.07,0.23,0.7,0.07,0.0,-13.822285550000002,6.07,330
2000,-14.75543192,8.72,0.2689075630252101,0.6134453781512605,0.11764705882352941,0.0,-14.75543192,8.72,380
2500,-10.882886380000004,9.99,0.3422818791946309,0.5100671140939598,0.1476510067114094,0.0,-10.882886380000004,9.99,430
3000,-9.180632860000001,10.91,0.3687150837988827,0.43575418994413406,0.19553072625698323,0.0,-9.180632860000001,10.91,470
3500,-9.788823129999999,13.35,0.375609756097561,0.3853658536585366,0.23902439024390243,0.0,-9.788823129999999,13.35,500
4000,-12.419763190000001,14.89,0.4,0.34347826086956523,0.2565217391304348,0.0,-12.419763190000001,14.89,530
4500,-11.29966831,15.6,0.41132075471698115,0.30566037735849055,0.2830188679245283,0.0,-11.29966831,15.6,566
5000,-7.0947406100000014,14.69,0.4358108108108108,0.27364864864864863,0.2905405405405405,0.0,-7.0947406100000014,14.69,602
5500,-7.02053219,13.52,0.4417910447761194,0.2417910447761194,0.3164179104477612,0.0,-7.02053219,13.52,642
6000,-3.32152653,12.63,0.4594594594594595,0.21891891891891893,0.3216216216216216,0.0,-3.32152653,12.63,679
6500,-3.4774388100000007,12.95,0.46534653465346537,0.20297029702970298,0.3316831683168317,0.0,-3.4774388100000007,12.95,716
7000,0.34561478000000034,13.88,0.4908256880733945,0.18807339449541285,0.3211009174311927,0.0,0.34561478000000034,13.88,749
7500,-0.73628802,14.53,0.5010752688172043,0.17849462365591398,0.3204301075268817,0.0,-0.73628802,14.53,783
8000,4.51889469,13.41,0.5187376725838264,0.16765285996055226,0.3136094674556213,0.0,4.51889469,13.41,826
8500,0.7587607599999999,12.96,0.5210237659963437,0.15722120658135283,0.3217550274223035,0.0,0.7587607599999999,12.96,866
9000,-0.8254618600000002,12.52,0.5221088435374149,0.14795918367346939,0.3299319727891156,0.0,-0.8254618600000002,12.52,908
9500,-2.0578976400000006,12.09,0.5271565495207667,0.1389776357827476,0.33386581469648563,0.0,-2.0578976400000006,12.09,948
10000,-0.612151069999999,13.27,0.5334346504559271,0.13221884498480244,0.3343465045592705,0.0,-0.612151069999999,13.27,980
10500,1.1514385299999998,14.25,0.5413642960812772,0.12772133526850507,0.3309143686502177,0.0,1.1514385299999998,14.25,1014
11000,-1.0234638700000003,14.57,0.5413223140495868,0.12121212121212122,0.33746556473829203,0.0,-1.0234638700000003,14.57,1051
11500,-3.2279522899999993,14.98,0.544973544973545,0.1164021164021164,0.3386243386243386,0.0,-3.2279522899999993,14.98,1081
12000,0.6304883200000013,14.0,0.5522012578616352,0.11069182389937107,0.3371069182389937,0.0,0.6304883200000013,14.0,1120
12500,3.66638709,13.08,0.5532934131736527,0.10538922155688622,0.3413173652694611,0.0,3.66638709,13.08,1162
13000,-2.4811975700000004,12.17,0.552,0.10057142857142858,0.3474285714285714,0.0,-2.4811975700000004,12.17,1203
13500,-4.845703510000001,12.44,0.5530054644808743,0.09617486338797815,0.35081967213114756,0.0,-4.845703510000001,12.44,1243
14000,-1.3470300999999991,11.86,0.5547445255474452,0.09176225234619395,0.3534932221063608,0.0,-1.3470300999999991,11.86,1287
14500,-0.4630343100000016,12.56,0.5566700100300903,0.08826479438314945,0.3550651955867603,0.0,-0.4630343100000016,12.56,1325
15000,2.730902490000001,11.99,0.5633397312859885,0.0854126679462572,0.3512476007677543,0.0,2.730902490000001,11.99,1371
15500,3.8866902800000003,12.22,0.567191844300278,0.082483781278962,0.35032437442076,0.0,3.8866902800000003,12.22,1408
16000,4.191880030000001,12.39,0.5706618962432916,0.07960644007155634,0.34973166368515207,0.0,4.191880030000001,12.39,1447
16500,0.5141330799999999,12.73,0.5711820534943917,0.07679033649698015,0.35202761000862814,0.0,0.5141330799999999,12.73,1488
17000,3.95491159,12.68,0.5763135946622185,0.07422852376980818,0.3494578815679733,0.0,3.95491159,12.68,1528
17500,7.111489519999999,12.43,0.5807754442649434,0.07189014539579967,0.3473344103392569,0.0,7.111489519999999,12.43,1567
18000,4.254036299999999,13.4,0.5817610062893082,0.0699685534591195,0.34827044025157233,0.0,4.254036299999999,13.4,1601
18500,0.6017645799999997,13.53,0.5835240274599542,0.06788710907704043,0.3485888634630053,0.0,0.6017645799999997,13.53,1640
19000,1.37897106,12.41,0.5862831858407079,0.06563421828908554,0.3480825958702065,0.0,1.37897106,12.41,1685
19500,2.72226585,11.19,0.5842857142857143,0.06357142857142857,0.35214285714285715,0.0,2.72226585,11.19,1730
20000,4.630864560000001,12.12,0.5908141962421712,0.061934585942936674,0.34725121781489215,0.0,4.630864560000001,12.12,1767
20500,7.19821478,12.21,0.5940460081190798,0.060216508795669824,0.3457374830852503,0.0,7.19821478,12.21,1808
21000,5.693495130000001,12.0,0.5963182117028271,0.05851413543721236,0.34516765285996054,0.0,5.693495130000001,12.0,1852
21500,6.343720169999999,10.76,0.5996180776575429,0.056651814131126674,0.3437301082113304,0.0,6.343720169999999,10.76,1902
22000,-0.2333470200000007,10.53,0.5959158415841584,0.055074257425742575,0.349009900990099,0.0,-0.2333470200000007,10.53,1947
22500,-9.45706727,11.51,0.5922565033272837,0.05384150030248034,0.35390199637023595,0.0,-9.45706727,11.51,1986
23000,-12.09026272,12.8,0.5911242603550296,0.052662721893491124,0.3562130177514793,0.0,-12.09026272,12.8,2023
23500,-2.7290619500000006,12.9,0.5923787528868361,0.05138568129330254,0.35623556581986143,0.0,-2.7290619500000006,12.9,2065
24000,4.0429780300000004,12.14,0.5956006768189509,0.050197405527354765,0.3542019176536943,0.0,4.0429780300000004,12.14,2108
24500,4.539295640000001,11.68,0.5964718853362734,0.04906284454244763,0.35446527012127893,0.0,4.539295640000001,11.68,2151
25000,1.4944767700000003,11.79,0.5962264150943396,0.04851752021563342,0.35525606469002696,0.0,1.4944767700000003,11.79,2192
25500,-0.43846545999999975,12.71,0.5956659619450317,0.04809725158562368,0.3562367864693446,0.0,-0.43846545999999975,12.71,2229
26000,-0.1528324700000005,13.11,0.5968911917098445,0.047150259067357515,0.3559585492227979,0.0,-0.1528324700000005,13.11,2267
