timesteps,episode_reward,episode_len,resolution_rate,escalation_rate,dropout_rate,timeout_rate,mean_reward_100ep,mean_episode_length_100ep,episodes_seen
500,-19.842249289999998,3.68,0.11627906976744186,0.8837209302325582,0.0,0.0,-19.842249289999998,3.68,140
1000,-18.142429489999998,4.29,0.14492753623188406,0.8260869565217391,0.028985507246376812,0.0,-18.142429489999998,4.29,264
1500,-19.811990949999995,7.01,0.1839080459770115,0.7241379310344828,0.08045977011494253,0.011494252873563218,-19.811990949999995,7.01,318
2000,-18.18379207,10.12,0.24752475247524752,0.6633663366336634,0.07920792079207921,0.009900990099009901,-18.18379207,10.12,363
2500,-14.495204730000001,12.14,0.31007751937984496,0.5813953488372093,0.10077519379844961,0.007751937984496124,-14.495204730000001,12.14,397
3000,-9.93110723,13.19,0.36423841059602646,0.5033112582781457,0.12582781456953643,0.006622516556291391,-9.93110723,13.19,435
3500,-4.789441010000001,12.24,0.4088397790055249,0.425414364640884,0.16022099447513813,0.0055248618784530384,-4.789441010000001,12.24,481
4000,-6.633175359999999,11.63,0.4398148148148148,0.3611111111111111,0.19444444444444445,0.004629629629629629,-6.633175359999999,11.63,524
4500,-4.68264611,11.29,0.47410358565737054,0.3147410358565737,0.20717131474103587,0.00398406374501992,-4.68264611,11.29,568
5000,-2.9167397299999998,11.33,0.4842105263157895,0.2807017543859649,0.23157894736842105,0.0035087719298245615,-2.9167397299999998,11.33,612
