subflow,mean_turns,mean_action_count,resolution_rate,escalation_rate,conversation_count
bad_price_competitor,12.129320398673453,3.790412624585454,0.6779449833886062,0.15735167220379795,100
bad_price_yesterday,11.964312670628068,3.738847709571271,0.6848203053904972,0.15505989820316757,100
boots_how_1,11.669187388119958,3.6466210587874865,0.6971171921616685,0.15096093594611049,100
boots_how_2,10.7920534724133,3.372516710129156,0.7336644386494459,0.13877852045018468,100
boots_how_3,12.1249478298446,3.7890461968264377,0.6781271737564749,0.157290942081175,100
boots_how_4,10.177025009516868,3.180320315474021,0.7592906246034637,0.13023645846551204,100
boots_other_1,12.155784707297329,3.7986827210304153,0.6768423038626112,0.15771923204579621,100
boots_other_2,11.895845640655459,3.7174517627048305,0.6876730983060226,0.15410896723132578,100
boots_other_3,14.595223229322372,4.561007259163241,0.5751990321115679,0.19160032262947738,100
boots_other_4,12.405927750338911,3.8768524219809093,0.6664196770692121,0.1611934409769293,100
cost,11.87183070340854,3.7099470948151683,0.6886737206913109,0.15377542643622968,100
credit_card,12.20675959515217,3.8146123734850526,0.6747183502019929,0.15842721659933565,100
jacket_how_1,12.318566447601114,3.849552014875348,0.6700597313499536,0.15998008955001547,100
jacket_how_2,12.748646607140266,3.9839520647313327,0.6521397247024889,0.16595342509917033,100
jacket_how_3,11.599646092278979,3.6248894038371806,0.7000147461550426,0.14999508461498579,100
jacket_how_4,11.895845640655459,3.7174517627048305,0.6876730983060226,0.15410896723132578,100
jacket_other_1,13.366220764316783,4.176943988848994,0.6264074681534675,0.1745308439488442,100
jacket_other_2,12.82864855728457,4.008952674151428,0.6488063101131429,0.167064563295619,100
jacket_other_3,11.669187388119958,3.6466210587874865,0.6971171921616685,0.15096093594611049,100
jacket_other_4,10.707605333182727,3.346126666619602,0.7371831111173863,0.13760562962753783,100
jeans_how_1,12.761732096506979,3.9880412801584306,0.651594495978876,0.16613516800704134,100
jeans_how_2,12.574919919974537,3.9296624749920426,0.6593783366677276,0.16354055444409077,100
jeans_how_3,12.970570342145658,4.053303231920518,0.6428929024105976,0.16903569919646746,100
jeans_how_4,10.749326687796874,3.359164589936523,0.735444721341797,0.13818509288606767,100
jeans_other_1,10.002483302451024,3.1257760320159447,0.7665631957312073,0.1278122680895975,100
jeans_other_2,12.1249478298446,3.7890461968264377,0.6781271737564749,0.157290942081175,100
jeans_other_3,12.697249508124603,3.9678904712889382,0.6542812704948082,0.16523957650173057,100
jeans_other_4,11.345917454968946,3.5455992046777953,0.7105867727096273,0.14647107576345755,100
manage,11.733808233413903,3.6668150729418443,0.6944246569410875,0.15185844768630416,100
manage_cancel,10.850672885942496,3.39083527685703,0.7312219630857293,0.13959267897142352,100
manage_change_address,12.574919919974537,3.9296624749920426,0.6593783366677276,0.16354055444409077,100
manage_change_name,9.211182458108768,2.87849451815899,0.799534064245468,0.11682197858484397,100
manage_change_phone,11.895845640655459,3.7174517627048305,0.6876730983060226,0.15410896723132578,100
manage_create,11.683429037068615,3.651071574083942,0.696523790122141,0.15115873662595297,100
