mode,algorithm,horizon,resolution_rate_mean,resolution_rate_std,avg_per_turn_reward_mean,early_turn_reward_mean,mean_episode_reward_mean
action_cb,epsilon,1,0.0,0.0,-0.18435465109759816,-0.18435465109759816,-0.18435465109759816
action_cb,epsilon,2,0.0,0.0,-0.17386359839453877,-0.17386359839453877,-0.34656003940390523
action_cb,epsilon,3,0.0,0.0,-0.16616672680792274,-0.16616672680792274,-0.49460311838529175
action_cb,epsilon,5,0.0,0.0,-0.16831576416288963,-0.15843554687971453,-0.8260549116018477
action_cb,epsilon,8,0.0033333333333333335,0.005773502691896258,-0.11743261091101764,-0.1530878181836048,-0.8880993465954049
action_cb,epsilon,20,0.01,0.009999999999999998,-0.12519569430974634,-0.15229611908752003,-1.3214525069976493
action_cb,linucb,1,0.0,0.0,-0.17835235214928033,-0.17835235214928033,-0.17835235214928033
action_cb,linucb,2,0.0,0.0,-0.16959254171138063,-0.16959254171138063,-0.33804249346087917
action_cb,linucb,3,0.0,0.0,-0.16347308428645158,-0.16347308428645158,-0.4876882368734993
action_cb,linucb,5,0.0,0.0,-0.15993578734670766,-0.15485214212156617,-0.7930107454863426
action_cb,linucb,8,0.013333333333333334,0.015275252316519466,-0.167512187579534,-0.15804008791620816,-1.2384228886041486
action_cb,linucb,20,0.03833333333333333,0.04481443219916251,-0.17070128638410612,-0.15856609493555887,-2.0058506143875756
action_cb,thompson,1,0.0,0.0,-0.18075305228886251,-0.18075305228886251,-0.18075305228886251
action_cb,thompson,2,0.0016666666666666668,0.002886751345948129,-0.17134963294904346,-0.17134963294904346,-0.34154467834014196
action_cb,thompson,3,0.0033333333333333335,0.005773502691896258,-0.17440212197704408,-0.17440212197704408,-0.5184603955888454
action_cb,thompson,5,0.025000000000000005,0.03905124837953328,-0.16053890655580813,-0.160332047192723,-0.7893167588161911
action_cb,thompson,8,0.03,0.015,-0.15044604574213769,-0.15865668931284768,-1.1024354072634321
action_cb,thompson,20,0.056666666666666664,0.030550504633038933,-0.10119711462118436,-0.14708758873354527,-0.9344329580065257
strategy_cb,epsilon,1,0.0,0.0,-0.17474631310231448,-0.17474631310231448,-0.17474631310231448
strategy_cb,epsilon,2,0.0,0.0,-0.1632795659228595,-0.1632795659228595,-0.3257362544351297
strategy_cb,epsilon,3,0.0,0.0,-0.16380992772677525,-0.16380992772677525,-0.4895004342155251
strategy_cb,epsilon,5,0.005,0.005,-0.15796476591275302,-0.14932775333368378,-0.7795690022499953
strategy_cb,epsilon,8,0.11,0.026457513110645915,-0.10410550260707278,-0.15652141737686517,-0.7473514971219979
strategy_cb,epsilon,20,0.13499999999999998,0.035,-0.02553950927514927,-0.15750192224701068,-0.16888630499342502
strategy_cb,linucb,1,0.0,0.0,-0.17492757486620306,-0.17492757486620306,-0.17492757486620306
