algorithm,mode,horizon,seed,avg_per_turn_reward,early_turn_reward,sentiment_improvement,immediate_regret,resolution_rate,mean_episode_reward,success_count,escalation_count,dropout_count,timeout_count
linucb,action_cb,1,1,-0.1929136894050503,-0.1929136894050503,0.0,0.0,0.0,-0.1929136894050503,0,0,2,198
linucb,strategy_cb,1,1,-0.17199312113746024,-0.17199312113746024,0.0,0.0,0.0,-0.17199312113746024,0,0,1,199
linucb_hybrid_k1,truncated_hybrid,1,1,-0.16929766894294518,-0.16929766894294518,0.0,0.0,0.0,-0.16929766894294518,0,0,0,200
linucb,action_cb,1,2,-0.17190051581843158,-0.17190051581843158,0.0,0.0,0.0,-0.17190051581843158,0,0,1,199
linucb,strategy_cb,1,2,-0.1706375633291067,-0.1706375633291067,0.0,0.0,0.0,-0.1706375633291067,0,0,0,200
linucb_hybrid_k1,truncated_hybrid,1,2,-0.16839331816572653,-0.16839331816572653,0.0,0.0,0.0,-0.16839331816572653,0,0,0,200
linucb,action_cb,1,3,-0.1702428512243591,-0.1702428512243591,0.0,0.0,0.0,-0.1702428512243591,0,0,1,199
linucb,strategy_cb,1,3,-0.18215204013204228,-0.18215204013204228,0.0,0.0,0.0,-0.18215204013204228,0,0,2,198
linucb_hybrid_k1,truncated_hybrid,1,3,-0.1863488954388999,-0.1863488954388999,0.0,0.0,0.0,-0.1863488954388999,0,0,2,198
linucb,action_cb,2,1,-0.1673613816390901,-0.1673613816390901,0.0,0.0,0.0,-0.3338859563699848,0,0,2,198
linucb,strategy_cb,2,1,-0.15552007864969844,-0.15552007864969844,0.0,0.0,0.005,-0.31026255690614846,1,0,2,197
linucb_hybrid_k1,truncated_hybrid,2,1,-0.15766306233556443,-0.15766306233556443,0.0,0.0,0.0,-0.3153261246711289,0,0,0,200
linucb_hybrid_k2,truncated_hybrid,2,1,-0.15766306233556443,-0.15766306233556443,0.0,0.0,0.0,-0.3153261246711289,0,0,0,200
linucb,action_cb,2,2,-0.1646398914999154,-0.1646398914999154,0.0,0.0,0.0,-0.3284565835423313,0,0,2,198
linucb,strategy_cb,2,2,-0.1637818728626261,-0.1637818728626261,0.0,0.0,0.005,-0.32674483636093915,1,0,5,194
linucb_hybrid_k1,truncated_hybrid,2,2,-0.1587540234189039,-0.1587540234189039,0.0,0.0,0.0,-0.31750804683780787,0,0,0,200
linucb_hybrid_k2,truncated_hybrid,2,2,-0.1587540234189039,-0.1587540234189039,0.0,0.0,0.0,-0.31750804683780787,0,0,0,200
linucb,action_cb,2,3,-0.17677635199513642,-0.17677635199513642,0.0,0.0,0.0,-0.35178494047032144,0,0,4,196
linucb,strategy_cb,2,3,-0.1656089200654085,-0.1656089200654085,0.0,0.0,0.0,-0.329561750930163,0,0,2,198
linucb_hybrid_k1,truncated_hybrid,2,3,-0.16970960092075138,-0.16970960092075138,0.0,0.0,0.0,-0.3377221058322952,0,0,2,198
linucb_hybrid_k2,truncated_hybrid,2,3,-0.17591211176444776,-0.17591211176444776,0.0,0.0,0.0,-0.3500651024112511,0,0,3,197
linucb,action_cb,3,1,-0.1615946704182695,-0.1615946704182695,0.0,0.0,0.0,-0.4823600911985345,0,0,2,198
linucb,strategy_cb,3,1,-0.1570991655749136,-0.1570991655749136,0.0,0.0,0.01,-0.46737001758536806,2,0,6,192
linucb_hybrid_k1,truncated_hybrid,3,1,-0.15578192903872926,-0.15578192903872926,0.0,0.0,0.0,-0.46734578711618774,0,0,0,200
linucb_hybrid_k2,truncated_hybrid,3,1,-0.15508832832701516,-0.15508832832701516,0.0,0.0,0.0,-0.46526498498104557,0,0,0,200
linucb_hybrid_k3,truncated_hybrid,3,1,-0.15508832832701516,-0.15508832832701516,0.0,0.0,0.0,-0.46526498498104557,0,0,0,200
linucb,action_cb,3,2,-0.16735183293524122,-0.16735183293524122,0.0,0.0,0.0,-0.49870846214701886,0,0,4,196
linucb,strategy_cb,3,2,-0.14444284758090079,-0.14444284758090079,0.0,0.0,0.01,-0.43188411426689344,2,0,3,195
linucb_hybrid_k1,truncated_hybrid,3,2,-0.15909126214710015,-0.15909126214710015,0.0,0.0,0.0,-0.476478330130565,0,0,1,199
linucb_hybrid_k2,truncated_hybrid,3,2,-0.15588358099074598,-0.15588358099074598,0.0,0.0,0.0,-0.4676507429722381,0,0,0,200
linucb_hybrid_k3,truncated_hybrid,3,2,-0.15588358099074598,-0.15588358099074598,0.0,0.0,0.0,-0.4676507429722381,0,0,0,200
linucb,action_cb,3,3,-0.16147274950584403,-0.16147274950584403,0.0,0.0,0.0,-0.48199615727494455,0,0,3,197
linucb,strategy_cb,3,3,-0.17607943807360532,-0.17607943807360532,0.0,0.0,0.0,-0.5247167254593438,0,0,5,195
